quantnos_ori,orbnames,quantnos
"{11, 9, 6, 1}",+,"{""+""}"
"{11, 5, 2, 1}",+,"{""+""}"
"{11, 9, 8, -1}",+,"{""+""}"
"{11, 5, 4, -1}",+,"{""+""}"
"{10, 8, 6, -1}",+,"{""+""}"
"{11, 5, 3, -1}",+,"{""+""}"
"{11, 7, 6, -1}",+,"{""+""}"
"{11, 11, 9, 1}",+,"{""+""}"
"{10, 10, 9, -1}",+,"{""+""}"
"{10, 8, 5, -1}",+,"{""+""}"
"{10, 8, 2, 1}",+,"{""+""}"
"{11, 5, 1, 1}",+,"{""+""}"
"{11, 7, 4, 1}",+,"{""+""}"
"{11, 3, 1, -1}",+,"{""+""}"
"{11, 5, 0, 1}",+,"{""+""}"
"{10, 8, 1, 1}",+,"{""+""}"
"{11, 7, 3, 1}",+,"{""+""}"
"{11, 11, 8, 1}",+,"{""+""}"
"{10, 8, 0, 1}",+,"{""+""}"
"{10, 10, 6, 1}",+,"{""+""}"
"{11, 5, 2, -1}",+,"{""+""}"
"{11, 9, 5, 1}",+,"{""+""}"
"{11, 5, 1, -1}",+,"{""+""}"
"{11, 11, 11, -1}",+,"{""+""}"
"{11, 7, 5, -1}",+,"{""+""}"
"{10, 10, 5, 1}",+,"{""+""}"
"{11, 9, 4, 1}",+,"{""+""}"
"{10, 8, 4, -1}",+,"{""+""}"
"{11, 7, 4, -1}",+,"{""+""}"
"{10, 8, 3, -1}",+,"{""+""}"
"{11, 7, 2, 1}",+,"{""+""}"
"{11, 11, 10, -1}",+,"{""+""}"
"{11, 7, 1, 1}",+,"{""+""}"
"{11, 9, 7, -1}",+,"{""+""}"
"{10, 10, 8, -1}",+,"{""+""}"
"{11, 9, 6, -1}",+,"{""+""}"
"{10, 8, 2, -1}",+,"{""+""}"
"{10, 8, 1, -1}",+,"{""+""}"
"{11, 7, 3, -1}",+,"{""+""}"
"{11, 7, 0, 1}",+,"{""+""}"
"{11, 7, 2, -1}",+,"{""+""}"
"{10, 10, 7, -1}",+,"{""+""}"
"{11, 7, 1, -1}",+,"{""+""}"
"{10, 10, 4, 1}",+,"{""+""}"
"{11, 9, 3, 1}",+,"{""+""}"
"{11, 9, 2, 1}",+,"{""+""}"
"{11, 11, 7, 1}",+,"{""+""}"
"{10, 10, 3, 1}",+,"{""+""}"
"{11, 11, 6, 1}",+,"{""+""}"
"{11, 9, 1, 1}",+,"{""+""}"
"{11, 9, 0, 1}",+,"{""+""}"
"{11, 9, 5, -1}",+,"{""+""}"
"{10, 10, 2, 1}",+,"{""+""}"
"{10, 10, 1, 1}",+,"{""+""}"
"{11, 9, 4, -1}",+,"{""+""}"
"{11, 11, 9, -1}",+,"{""+""}"
"{10, 10, 0, 1}",+,"{""+""}"
"{10, 10, 6, -1}",+,"{""+""}"
"{10, 10, 5, -1}",+,"{""+""}"
"{11, 11, 8, -1}",+,"{""+""}"
"{11, 9, 3, -1}",+,"{""+""}"
"{11, 11, 5, 1}",+,"{""+""}"
"{11, 9, 2, -1}",+,"{""+""}"
"{11, 11, 4, 1}",+,"{""+""}"
"{11, 9, 1, -1}",+,"{""+""}"
"{10, 10, 4, -1}",+,"{""+""}"
"{10, 10, 3, -1}",+,"{""+""}"
"{10, 10, 2, -1}",+,"{""+""}"
"{10, 10, 1, -1}",+,"{""+""}"
"{11, 11, 3, 1}",+,"{""+""}"
"{11, 11, 7, -1}",+,"{""+""}"
"{11, 11, 2, 1}",+,"{""+""}"
"{11, 11, 6, -1}",+,"{""+""}"
"{11, 11, 1, 1}",+,"{""+""}"
"{11, 11, 0, 1}",+,"{""+""}"
"{11, 11, 5, -1}",+,"{""+""}"
"{11, 11, 4, -1}",+,"{""+""}"
"{11, 11, 3, -1}",+,"{""+""}"
"{11, 11, 2, -1}",+,"{""+""}"
"{11, 11, 1, -1}",+,"{""+""}"
